trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.5, 'e': 0.14015588661581538}",30,19,20.692757654303172,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.13806923731089282}",20,14,11.439240466157333,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.13601365416684918}",35,17,20.490863370837655,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.13398867466880499}",30,10,15.466866781380855,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.13199384318783022}",30,13,29.51924081116995,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.1300287108784259}",30,19,5.123924080619432,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.12809283557753204}",20,12,12.167864534234468,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.12618578170503877}",20,8,-19.613278834388105,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.12430712016577938}",20,9,1.749578058895147,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,12,3.959586089670583,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.12063328955315832}",25,6,13.930440668571451,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.11883729385240965}",25,17,-7.6977050162684355,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.11706803704412637}",30,23,-26.661415953527186,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.11532512103806251}",20,12,15.829408327596475,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.11360815367076377}",30,16,-18.755384821096246,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.11191674861732888}",25,14,20.761474332212536,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.11025052530448522}",30,21,19.78331489683191,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.10860910882495801}",20,13,12.833353187766251,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.10699212985311449}",30,20,15.25059382923145,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.10539922456186433}",20,16,9.375058069932841,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.10383003454079692}",20,0,12.596684813957582,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.10228420671553748}",30,17,14.676014248244744,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
